id,latitude,longitude,type,description,timestamp,source,date,day_of_week,hour,month,severity_score
call_0,40.66189404600004,-73.73913314899994,53S,53S,2025-07-29T00:00:00.000000,911_calls,2025-07-29 00:00:00,Tuesday,0,7,3.0
call_1,40.868407122000065,-73.89260767699994,54I2,54I2,2025-07-28T01:01:00.000000,911_calls,2025-07-28 01:01:00,Monday,1,7,3.0
call_2,40.698697527000036,-73.98881805399998,75S,75S,2025-07-27T02:02:00.000000,911_calls,2025-07-27 02:02:00,Sunday,2,7,3.0
call_3,40.62895151200007,-73.96793097699998,50G2,50G2,2025-07-26T03:03:00.000000,911_calls,2025-07-26 03:03:00,Saturday,3,7,3.0
call_4,40.74567670700003,-73.98772027499996,10H1,10H1,2025-07-25T04:04:00.000000,911_calls,2025-07-25 04:04:00,Friday,4,7,3.0
call_5,40.69226368000005,-73.98774453499993,75O,75O,2025-07-24T05:05:00.000000,911_calls,2025-07-24 05:05:00,Thursday,5,7,3.0
call_6,40.75093622800006,-74.00404376499995,54U2,54U2,2025-07-23T06:06:00.000000,911_calls,2025-07-23 06:06:00,Wednesday,6,7,3.0
call_7,40.61633949800006,-74.03095284899996,75S,75S,2025-07-22T07:07:00.000000,911_calls,2025-07-22 07:07:00,Tuesday,7,7,3.0
call_8,40.82849393200007,-73.90554670999995,52D1,52D1,2025-07-21T08:08:00.000000,911_calls,2025-07-21 08:08:00,Monday,8,7,3.0
call_9,40.74705075800006,-73.89147157999997,75O,75O,2025-07-20T09:09:00.000000,911_calls,2025-07-20 09:09:00,Sunday,9,7,3.0
call_10,40.86085841600004,-73.89778957199997,75S,75S,2025-07-19T10:10:00.000000,911_calls,2025-07-19 10:10:00,Saturday,10,7,3.0
call_11,40.718244241000036,-73.95836798199997,75M,75M,2025-07-18T11:11:00.000000,911_calls,2025-07-18 11:11:00,Friday,11,7,3.0
call_12,40.798285226000075,-73.96267373099994,52D1,52D1,2025-07-17T12:12:00.000000,911_calls,2025-07-17 12:12:00,Thursday,12,7,3.0
call_13,40.64065237300008,-73.94557802499997,10H1,10H1,2025-07-16T13:13:00.000000,911_calls,2025-07-16 13:13:00,Wednesday,13,7,3.0
call_14,40.718244241000036,-73.95836798199997,75O,75O,2025-07-15T14:14:00.000000,911_calls,2025-07-15 14:14:00,Tuesday,14,7,3.0
call_15,40.67836827600007,-73.90352044899998,75M,75M,2025-07-14T15:15:00.000000,911_calls,2025-07-14 15:15:00,Monday,15,7,3.0
call_16,40.71239662200003,-73.78490845799996,75S,75S,2025-07-13T16:16:00.000000,911_calls,2025-07-13 16:16:00,Sunday,16,7,3.0
call_17,40.83509424700003,-73.90804891499994,10S2,10S2,2025-07-12T17:17:00.000000,911_calls,2025-07-12 17:17:00,Saturday,17,7,3.0
call_18,40.640936675000034,-73.97350306399994,50G2,50G2,2025-07-11T18:18:00.000000,911_calls,2025-07-11 18:18:00,Friday,18,7,3.0
call_19,40.70950107600004,-73.78648322999999,11C4,11C4,2025-07-10T19:19:00.000000,911_calls,2025-07-10 19:19:00,Thursday,19,7,3.0
call_20,40.689447804000054,-73.99046749299998,10Y3,10Y3,2025-07-09T20:20:00.000000,911_calls,2025-07-09 20:20:00,Wednesday,20,7,3.0
call_21,40.621415599000045,-74.08007850499996,10S4,10S4,2025-07-08T21:21:00.000000,911_calls,2025-07-08 21:21:00,Tuesday,21,7,3.0
call_22,40.60156483000003,-73.94210597799997,10Y3,10Y3,2025-07-07T22:22:00.000000,911_calls,2025-07-07 22:22:00,Monday,22,7,3.0
call_23,40.83149958700005,-73.92034728999994,10Y3,10Y3,2025-07-06T23:23:00.000000,911_calls,2025-07-06 23:23:00,Sunday,23,7,3.0
call_24,40.644801520000044,-74.00526971499994,52D1,52D1,2025-07-05T00:24:00.000000,911_calls,2025-07-05 00:24:00,Saturday,0,7,3.0
call_25,40.79719864200007,-73.94329385599997,39P6,39P6,2025-07-04T01:25:00.000000,911_calls,2025-07-04 01:25:00,Friday,1,7,3.0
call_26,40.68887919500003,-73.90493676399996,75M,75M,2025-07-03T02:26:00.000000,911_calls,2025-07-03 02:26:00,Thursday,2,7,3.0
call_27,40.61484691900006,-73.95433715699994,10Y3,10Y3,2025-07-02T03:27:00.000000,911_calls,2025-07-02 03:27:00,Wednesday,3,7,3.0
call_28,40.752533054000025,-73.98740139399996,11C4,11C4,2025-07-01T04:28:00.000000,911_calls,2025-07-01 04:28:00,Tuesday,4,7,3.0
call_29,40.67906840200004,-73.90376820299997,75M,75M,2025-06-30T05:29:00.000000,911_calls,2025-06-30 05:29:00,Monday,5,6,3.0
call_30,40.78052257600007,-73.94521817699996,59R4,59R4,2025-07-29T06:30:00.000000,911_calls,2025-07-29 06:30:00,Tuesday,6,7,3.0
call_31,40.606569086000036,-73.99082865999998,54C1,54C1,2025-07-28T07:31:00.000000,911_calls,2025-07-28 07:31:00,Monday,7,7,3.0
call_32,40.67914758400008,-73.82261933099994,39V6,39V6,2025-07-27T08:32:00.000000,911_calls,2025-07-27 08:32:00,Sunday,8,7,3.0
call_33,40.69026700100005,-73.93500461799994,29H2,29H2,2025-07-26T09:33:00.000000,911_calls,2025-07-26 09:33:00,Saturday,9,7,3.0
call_34,40.86985763400003,-73.91756066799996,39T2,39T2,2025-07-25T10:34:00.000000,911_calls,2025-07-25 10:34:00,Friday,10,7,3.0
call_35,40.61190307500004,-74.10302790199995,10S2,10S2,2025-07-24T11:35:00.000000,911_calls,2025-07-24 11:35:00,Thursday,11,7,3.0
call_36,40.64921500600008,-73.96366886299995,11C4,11C4,2025-07-23T12:36:00.000000,911_calls,2025-07-23 12:36:00,Wednesday,12,7,3.0
call_37,40.67508142100007,-73.92363809599993,10S1,10S1,2025-07-22T13:37:00.000000,911_calls,2025-07-22 13:37:00,Tuesday,13,7,3.0
call_38,40.86332066400007,-73.82310785699997,54U1,54U1,2025-07-21T14:38:00.000000,911_calls,2025-07-21 14:38:00,Monday,14,7,3.0
call_39,40.68844433600003,-73.80091991899997,53X,53X,2025-07-20T15:39:00.000000,911_calls,2025-07-20 15:39:00,Sunday,15,7,3.0
call_40,40.68844433600003,-73.80091991899997,53X,53X,2025-07-19T16:40:00.000000,911_calls,2025-07-19 16:40:00,Saturday,16,7,3.0
call_41,40.860087315000044,-73.89491310799997,75D,75D,2025-07-18T17:41:00.000000,911_calls,2025-07-18 17:41:00,Friday,17,7,3.0
call_42,40.65260032000003,-73.97856550299997,54H1,54H1,2025-07-17T18:42:00.000000,911_calls,2025-07-17 18:42:00,Thursday,18,7,3.0
call_43,40.587376549000055,-73.96962511199996,10Y3,10Y3,2025-07-16T19:43:00.000000,911_calls,2025-07-16 19:43:00,Wednesday,19,7,3.0
call_44,40.72355737600003,-74.00165017899997,11C4,11C4,2025-07-15T20:44:00.000000,911_calls,2025-07-15 20:44:00,Tuesday,20,7,3.0
call_45,40.61180402800005,-73.95033776199995,59R4,59R4,2025-07-14T21:45:00.000000,911_calls,2025-07-14 21:45:00,Monday,21,7,3.0
call_46,40.853330001000074,-73.93161368199998,50P2,50P2,2025-07-13T22:46:00.000000,911_calls,2025-07-13 22:46:00,Sunday,22,7,3.0
call_47,40.683788668000034,-73.76974188799994,10S2,10S2,2025-07-12T23:47:00.000000,911_calls,2025-07-12 23:47:00,Saturday,23,7,3.0
call_48,40.75673593700003,-73.99831941099995,54S2,54S2,2025-07-11T00:48:00.000000,911_calls,2025-07-11 00:48:00,Friday,0,7,3.0
call_49,40.67303140400003,-73.95567082599996,44H1,44H1,2025-07-10T01:49:00.000000,911_calls,2025-07-10 01:49:00,Thursday,1,7,3.0
call_50,40.679270529000064,-73.92882497899996,75S,75S,2025-07-09T02:50:00.000000,911_calls,2025-07-09 02:50:00,Wednesday,2,7,3.0
call_51,40.579488612000034,-73.95482572199995,54C1,54C1,2025-07-08T03:51:00.000000,911_calls,2025-07-08 03:51:00,Tuesday,3,7,3.0
call_52,40.882051545000024,-73.85539528099997,52D2,52D2,2025-07-07T04:52:00.000000,911_calls,2025-07-07 04:52:00,Monday,4,7,3.0
call_53,40.84227324600005,-73.87224065199996,10N9,10N9,2025-07-06T05:53:00.000000,911_calls,2025-07-06 05:53:00,Sunday,5,7,3.0
call_54,40.74857939100008,-73.87503331299996,11C4,11C4,2025-07-05T06:54:00.000000,911_calls,2025-07-05 06:54:00,Saturday,6,7,3.0
call_55,40.597857730000044,-73.96534603299995,53I,53I,2025-07-04T07:55:00.000000,911_calls,2025-07-04 07:55:00,Friday,7,7,3.0
call_56,40.679270529000064,-73.92882497899996,75S,75S,2025-07-03T08:56:00.000000,911_calls,2025-07-03 08:56:00,Thursday,8,7,3.0
call_57,40.874217411000075,-73.87853242199998,75M,75M,2025-07-02T09:57:00.000000,911_calls,2025-07-02 09:57:00,Wednesday,9,7,3.0
call_58,40.66130220400004,-73.96115364399998,54E1,54E1,2025-07-01T10:58:00.000000,911_calls,2025-07-01 10:58:00,Tuesday,10,7,3.0
